customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,Tempo_Cliente,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,Mensalidade,Total_Pago,Contas_Diarias,Churn_binario,Total_Servicos
0052-DCKON,no,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 ano,No,Bank transfer (automatic),115.8,7942.15,3.86,0,8.0
0052-YNYOT,no,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Electronic check,20.55,1343.4,0.685,0,1.0
0056-EPFBG,no,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,2 anos,Yes,Credit card (automatic),39.4,825.4,1.3133333333333332,0,3.0
0057-QBUQH,no,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,Yes,Electronic check,25.1,1070.15,0.8366666666666667,0,2.0
0058-EVZWM,no,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Mensal,Yes,Bank transfer (automatic),89.8,4959.6,2.993333333333333,0,4.0
0060-FUALY,no,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Mensal,Yes,Electronic check,94.75,5597.65,3.158333333333333,0,5.0
0064-SUDOG,no,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Bank transfer (automatic),20.3,224.5,0.6766666666666666,0,1.0
0064-YIJGF,no,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Bank transfer (automatic),75.75,1929.0,2.525,0,2.0
0067-DKWBL,yes,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Mensal,Yes,Electronic check,49.25,91.1,1.6416666666666666,1,2.0
0068-FIGTF,no,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,1 ano,No,Mailed check,78.2,2078.95,2.606666666666667,0,6.0
0071-NDAFP,no,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Credit card (automatic),25.5,630.6,0.85,0,2.0
0074-HDKDG,no,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,1 ano,Yes,Bank transfer (automatic),61.6,1611.0,2.0533333333333332,0,4.0
0076-LVEPS,no,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Mensal,Yes,Mailed check,45.0,1242.45,1.5,0,4.0
0078-XZMHT,no,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Bank transfer (automatic),85.15,6316.2,2.8383333333333334,0,7.0
0080-EMYVY,no,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,1 ano,No,Credit card (automatic),51.45,727.85,1.715,0,2.0
0080-OROZO,no,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,1 ano,Yes,Electronic check,99.25,3532.0,3.308333333333333,0,5.0
0082-LDZUE,no,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Mensal,Yes,Mailed check,44.3,44.3,1.4766666666666666,0,1.0
0082-OQIQY,no,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Mensal,Yes,Electronic check,94.2,2607.6,3.14,0,4.0
0083-PIVIK,no,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,1 ano,No,Electronic check,81.25,5567.55,2.7083333333333335,0,7.0
0089-IIQKO,no,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Mensal,Yes,Credit card (automatic),99.95,3767.4,3.3316666666666666,0,5.0
0093-EXYQL,no,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Mensal,Yes,Electronic check,91.55,3673.6,3.0516666666666667,0,3.0
0093-XWZFY,yes,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Credit card (automatic),104.5,4036.85,3.4833333333333334,1,6.0
0094-OIFMO,yes,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Mensal,Yes,Electronic check,95.0,1120.3,3.1666666666666665,1,4.0
0096-BXERS,no,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Mensal,No,Electronic check,50.35,314.55,1.6783333333333335,0,2.0
0096-FCPUF,no,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Mensal,Yes,Mailed check,64.5,1888.45,2.15,0,4.0
0098-BOWSO,no,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,Yes,Electronic check,19.4,529.8,0.6466666666666666,0,1.0
0100-DUVFC,no,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1 ano,Yes,Electronic check,104.8,7308.95,3.493333333333333,0,6.0
0103-CSITQ,no,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1 ano,Yes,Bank transfer (automatic),109.4,6252.7,3.646666666666667,0,7.0
0104-PPXDV,no,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,1 ano,No,Credit card (automatic),50.3,2878.55,1.6766666666666665,0,2.0
0106-GHRQR,no,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Mensal,Yes,Bank transfer (automatic),71.4,1212.1,2.3800000000000003,0,5.0
0106-UGRDO,no,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Electronic check,116.0,8182.85,3.8666666666666667,0,8.0
0107-WESLM,yes,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,Yes,Electronic check,19.85,19.85,0.6616666666666667,1,1.0
0107-YHINA,yes,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Mensal,Yes,Electronic check,99.75,99.75,3.325,1,5.0
0111-KLBQG,no,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Mensal,Yes,Mailed check,93.95,2861.45,3.131666666666667,0,4.0
0112-QAWRZ,no,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Mensal,Yes,Bank transfer (automatic),90.8,1442.2,3.0266666666666664,0,4.0
0112-QWPNC,yes,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,1 ano,No,Electronic check,84.35,4059.35,2.8116666666666665,1,7.0
0114-IGABW,no,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,2 anos,No,Bank transfer (automatic),58.25,4145.9,1.9416666666666667,0,5.0
0114-PEGZZ,no,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensal,No,Electronic check,107.55,3645.5,3.585,0,6.0
0114-RSRRW,no,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,Yes,Bank transfer (automatic),19.95,187.75,0.6649999999999999,0,1.0
0115-TFERT,yes,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Mensal,Yes,Electronic check,111.2,2317.1,3.7066666666666666,1,7.0
0117-LFRMW,yes,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Mensal,No,Bank transfer (automatic),40.2,1448.8,1.34,1,3.0
0118-JPNOY,no,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Mensal,Yes,Credit card (automatic),85.8,2193.65,2.86,0,3.0
0121-SNYRK,no,Male,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,1 ano,Yes,Mailed check,35.4,1748.9,1.18,0,2.0
0122-OAHPZ,yes,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Electronic check,73.85,511.25,2.4616666666666664,1,2.0
0123-CRBRT,no,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,No,Mailed check,88.1,5526.75,2.9366666666666665,0,8.0
0125-LZQXK,yes,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Mensal,Yes,Electronic check,101.35,1553.95,3.378333333333333,1,5.0
0128-MKWSG,no,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Mensal,No,Mailed check,45.8,1147.0,1.5266666666666666,0,3.0
0129-KPTWJ,no,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Mensal,Yes,Electronic check,94.65,6747.35,3.1550000000000002,0,4.0
0129-QMPDR,no,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,Yes,Bank transfer (automatic),20.5,865.05,0.6833333333333333,0,1.0
0130-SXOUN,no,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Mensal,No,Credit card (automatic),89.4,5976.9,2.98,0,4.0
0133-BMFZO,yes,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Mensal,Yes,Electronic check,86.25,181.65,2.875,1,4.0
0134-XWXCE,no,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,1 ano,No,Bank transfer (automatic),74.85,3268.05,2.4949999999999997,0,5.0
0135-NMXAP,yes,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Mensal,Yes,Bank transfer (automatic),89.75,1052.4,2.9916666666666667,1,4.0
0136-IFMYD,no,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Electronic check,109.95,7634.25,3.665,0,7.0
0137-OCGAB,yes,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Mensal,Yes,Mailed check,80.2,80.2,2.6733333333333333,1,3.0
0137-UDEUO,yes,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Mailed check,19.85,63.75,0.6616666666666667,1,1.0
0139-IVFJG,no,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Mensal,No,Electronic check,90.35,190.5,3.0116666666666663,0,4.0
0141-YEAYS,no,Female,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Mensal,Yes,Bank transfer (automatic),86.45,2401.05,2.881666666666667,0,4.0
0142-GVYSN,no,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,Yes,Electronic check,20.3,511.25,0.6766666666666666,0,1.0
0147-ESWWR,no,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Mensal,Yes,Electronic check,101.25,3949.15,3.375,0,5.0
0148-DCDOS,yes,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Mensal,Yes,Bank transfer (automatic),94.7,2362.1,3.1566666666666667,1,4.0
0151-ONTOV,yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Mensal,No,Mailed check,70.9,70.9,2.3633333333333337,1,1.0
0156-FVPTA,yes,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Mensal,Yes,Electronic check,54.2,1152.7,1.8066666666666669,1,3.0
0164-APGRB,no,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Electronic check,114.9,8496.7,3.83,0,8.0
0164-XAIRP,no,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,Yes,Bank transfer (automatic),19.55,470.2,0.6516666666666667,0,1.0
0168-XZKBB,no,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Mensal,Yes,Electronic check,86.85,1564.4,2.895,0,3.0
0174-QRVVY,no,Male,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Credit card (automatic),25.35,1847.55,0.8450000000000001,0,2.0
0177-PXBAT,no,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Mensal,Yes,Bank transfer (automatic),109.9,3694.7,3.6633333333333336,0,7.0
0178-CIIKR,no,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Mailed check,19.95,58.0,0.6649999999999999,0,1.0
0178-SZBHO,no,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Mensal,No,Electronic check,87.2,4017.45,2.9066666666666667,0,4.0
0181-RITDD,no,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,No,Mailed check,108.15,6825.65,3.605,0,7.0
0186-CAERR,no,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 ano,Yes,Bank transfer (automatic),116.3,8309.55,3.8766666666666665,0,8.0
0187-QSXOE,no,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Mensal,Yes,Electronic check,89.0,605.45,2.966666666666667,0,3.0
0187-WZNAB,no,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Mensal,No,Mailed check,74.4,1972.35,2.48,0,2.0
0188-GWFLE,no,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Mailed check,20.05,33.7,0.6683333333333333,0,1.0
0191-EQUUH,no,Female,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,2 anos,No,Bank transfer (automatic),35.05,844.45,1.1683333333333332,0,2.0
0191-ZHSKZ,no,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Mensal,Yes,Electronic check,74.75,2111.3,2.4916666666666667,0,5.0
0193-ESZXP,yes,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,1 ano,Yes,Credit card (automatic),105.5,6205.5,3.5166666666666666,1,6.0
0195-IESCP,yes,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Mensal,Yes,Electronic check,85.25,855.3,2.841666666666667,1,3.0
0196-JTUQI,no,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Credit card (automatic),75.2,633.85,2.506666666666667,0,2.0
0196-VULGZ,yes,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Mensal,Yes,Electronic check,84.35,474.9,2.8116666666666665,1,3.0
0197-PNKNK,no,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,1 ano,No,Bank transfer (automatic),84.45,5848.6,2.815,0,4.0
0201-MIBOL,no,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,2 anos,Yes,Bank transfer (automatic),102.4,6471.85,3.4133333333333336,0,5.0
0201-OAMXR,yes,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 ano,No,Credit card (automatic),115.55,8127.6,3.8516666666666666,1,8.0
0203-HHYIJ,yes,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Bank transfer (automatic),25.3,676.35,0.8433333333333334,1,2.0
0206-OYVOC,no,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,Yes,Mailed check,19.25,864.2,0.6416666666666667,0,1.0
0206-TBWLC,no,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 ano,Yes,Mailed check,114.65,6049.5,3.8216666666666668,0,8.0
0207-MDKNV,yes,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Mensal,No,Electronic check,105.1,1582.75,3.503333333333333,1,6.0
0208-BPQEJ,no,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Bank transfer (automatic),19.4,198.1,0.6466666666666666,0,1.0
0212-ISBBF,no,Female,0,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Mensal,Yes,Electronic check,50.35,1098.85,1.6783333333333335,0,3.0
0214-JHPFW,no,Female,0,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,2 anos,No,Bank transfer (automatic),57.8,4039.3,1.9266666666666665,0,5.0
0215-BQKGS,no,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Mensal,Yes,Credit card (automatic),84.3,2438.6,2.81,0,4.0
0218-QNVAS,no,Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,1 ano,No,Bank transfer (automatic),100.55,7113.75,3.3516666666666666,0,5.0
0219-QAERP,no,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Credit card (automatic),19.8,576.65,0.66,0,1.0
0219-YTZUE,yes,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Mensal,Yes,Bank transfer (automatic),84.8,371.9,2.8266666666666667,1,4.0
0220-EBGCE,yes,Male,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Mensal,Yes,Electronic check,85.85,167.3,2.8616666666666664,1,3.0
0221-NAUXK,no,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,Yes,Bank transfer (automatic),19.95,219.5,0.6649999999999999,0,1.0
0221-WMXNQ,no,Male,1,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Mensal,No,Electronic check,75.35,273.4,2.5116666666666663,0,2.0
0222-CNVPT,no,Male,1,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Mensal,Yes,Credit card (automatic),48.8,2555.05,1.6266666666666665,0,3.0
0224-HJAPT,yes,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Mensal,No,Electronic check,47.15,223.15,1.5716666666666665,1,2.0
0224-NIJLP,no,Male,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Mailed check,20.15,165.5,0.6716666666666666,0,1.0
0224-RLWWD,no,Female,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Mensal,Yes,Electronic check,44.3,89.3,1.4766666666666666,0,1.0
0225-ZORZP,no,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Mensal,No,Electronic check,84.3,235.05,2.81,0,3.0
0228-MAUWC,no,Male,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Mensal,No,Electronic check,59.55,1144.6,1.9849999999999999,0,4.0
0229-LFJAF,no,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,2 anos,No,Bank transfer (automatic),69.65,4908.25,2.3216666666666668,0,6.0
0230-UBYPQ,no,Male,1,Yes,No,63,No,No phone service,DSL,Yes,No,No,Yes,No,No,1 ano,No,Bank transfer (automatic),36.1,2298.9,1.2033333333333334,0,2.0
0230-WEQUW,no,Male,0,Yes,No,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,2 anos,Yes,Bank transfer (automatic),56.6,3789.2,1.8866666666666667,0,5.0
0231-LXVAP,yes,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Mensal,Yes,Electronic check,75.9,75.9,2.5300000000000002,1,2.0
0233-FTHAV,no,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,1 ano,Yes,Bank transfer (automatic),79.2,4765.0,2.64,0,3.0
0234-TEVTT,no,Female,0,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,1 ano,No,Credit card (automatic),45.0,2196.3,1.5,0,3.0
0235-KGSLC,yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Mensal,Yes,Credit card (automatic),85.55,85.55,2.8516666666666666,1,3.0
